studentID,name,age,grade,degree
s08549383,John,22,55,Biology
s06218474,Rhona,20,86,Physics
s17758784,Clara,36,62,Physics
s17439450,Dave,22,38,Medicine
s17089450,George,19,65,Chemistry
s16018474,Lucy,24,42,Chemistry
s06898474,Hannah,22,31,Medicine
s17768784,Teresa,22,78,Physics
s09341718,Robert,21,76,Physics
s16483954,Hugh,33,79,Physics
s12038588,Elaine,28,93,Medicine
s17791784,Christine,52,56,Chemistry
s17069450,Stephen,22,67,Chemistry
s17029450,Alison,31,54,Biology
s09149383,James,23,59,Physics
s08503383,Rosie,26,61,Chemistry
s17433250,Sophie,31,63,Physics
s16218723,Harry,22,49,Physics
s18012001,Janine,23,53,Physics
s06238474,Isla,23,83,Physics
s17439104,Olver,42,23,Biology
s12865603,Grace,21,49,Biology
s16732219,Max,23,69,Chemistry
s15349206,Jack,22,58,Chemistry
s16349365,Jessica,22,88,Physics
