doctorID,name,age,experience,specialty,rating
d549383,John,60,30,Anaesthetics,8.8
d962474,Rhona,30,3,Neurology,8.9
d762309,Clara,36,10,Neurology,7.3
d224174,Hugh,33,9,Neurology,9.3
d987345,Elaine,48,13,Rheumatology,6.9
d947509,Christine,52,26,Anaesthetics,8.9
d798745,Stephen,62,27,Neurology,5.3
d365567,Alison,61,24,Orthodontics,6.7
d098435,James,53,19,Urology,6.8
d987786,Rosie,46,11,Chemistry,7.9
d987345,Sophie,41,13,Paediatrics,9.2
d987235,Dave,52,18,Rheumatology,9.4
D653390,George,59,15,Anaesthetics,9.5
d993624,Lucy,64,32,Urology,8.1
d993750,Hannah,28,3,Orthodontics,8.4
d883625,Teresa,32,8,Anaesthetics,8.1
d987347,Robert,41,10,Paediatrics,7.2
d987435,Harry,52,19,Anaesthetics,7.2
d873458,Janine,43,13,Rheumatology,7.5
d994375,Isla,53,23,Urology,7.1
d457689,Olver,22,1,Urology,6.9
d987345,Grace,31,9,Orthodontics,6.3
d123897,Max,33,9,Orthodontics,8.2
d987457,Jack,52,18,Orthodontics,8.1
d457987,Jessica,42,10,Paediatrics,9.3
